movie_id, movie title , release date , video release date , IMDb URL , unknown , Action , Adventure , Animation , Children's , Comedy , Crime , Documentary , Drama , Fantasy , Film-Noir , Horror , Musical , Mystery , Romance , Sci-Fi , Thriller , War , Western , description, tagline, studio 
11,Seven (Se7en),01-Jan-1995,,http://us.imdb.com/M/title-exact?Se7en%20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,,Polygram Filmed Entertainment
12,The Usual Suspects,14-Aug-1995,,http://us.imdb.com/M/title-exact?Usual%20Suspects-%20The%20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"A boat has been destroyed, criminals are dead, and the key to this mystery lies with the only survivor and his twisted, convoluted story beginning with five career crooks in a seemingly random police lineup.",,Blue Parrot Productions
13,Mighty Aphrodite,30-Oct-1995,,http://us.imdb.com/M/title-exact?Mighty%20Aphrodite%20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lenny and Amanda have an adopted son Max who turns out to be brilliant. Lenny becomes obsessed with finding Max's real parents because he believes that they too must be brilliant. When he finds that Linda Ash is Max' real mother, Lenny is disappointed. Linda is a prostitute and porn star. On top of that, she is quite possibly the dumbest person Lenny has ever met. Interwoven is a Greek chorus linking the story with the story of Oedipus.",,
14,Postino- Il,01-Jan-1994,,http://us.imdb.com/M/title-exact?Postino-%20Il%20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,,
15,Mr. Holland's Opus,29-Jan-1996,,http://us.imdb.com/M/title-exact?Mr.%20Holland's%20Opus%20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"In 1965, passionate musician Glenn Holland (Richard Dreyfuss) takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",,Interscope Communications
16,French Twist (Gazon maudit),01-Jan-1995,,http://us.imdb.com/M/title-exact?Gazon%20maudit%20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,,Interscope Communications
17,From Dusk Till Dawn,05-Feb-1996,,http://us.imdb.com/M/title-exact?From%20Dusk%20Till%20Dawn%20,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,"No overview found.",,
18,White Balloon- The,01-Jan-1995,,http://us.imdb.com/M/title-exact?Badkonake%20Sefid%20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
19,Antonia's Line,01-Jan-1995,,http://us.imdb.com/M/title-exact?Antonia%20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
20,Angels and Insects,01-Jan-1995,,http://us.imdb.com/M/title-exact?Angels%20and%20Insects%20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"In the 1800s a naturalist marries into a family of British aristocrats.",,Samuel Goldwyn Company
21,Muppet Treasure Island,16-Feb-1996,,http://us.imdb.com/M/title-exact?Muppet%20Treasure%20Island%20,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,"After telling the story of Flint's last journey to young Jim Hawkins, Billy Bones has a heart attack and dies just as Jim and his friends are attacked by pirates. The gang escapes into the town where they hire out a boat and crew to find the hidden treasure, which was revealed by Bones before he died. On their voyage across the seas, they soon find out that not everyone on board can be trusted.",Set sail for Muppet mayhem!,"Jim Henson Company, The"
22,Braveheart,16-Feb-1996,,http://us.imdb.com/M/title-exact?Braveheart%20,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"Enraged at the slaughter of Murron -- his new bride and childhood love -- legendary Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",Every man dies.  Not every man truly lives.,20th Century Fox
23,Taxi Driver,16-Feb-1996,,http://us.imdb.com/M/title-exact?Taxi%20Driver%20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"Robert De Niro stars as Travis Bickle in this oppressive psychodrama about a Vietnam veteran who rebels against the decadence and immorality of big city life in New York while working the nightshift as a taxi driver. ","On every street in every city, there's a nobody who dreams of being a somebody.",Columbia Pictures Corporation
24,Rumble in the Bronx,23-Feb-1996,,http://us.imdb.com/M/title-exact?Hong%20Faan%20Kui%20,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,Columbia Pictures Corporation
25,Birdcage- The,08-Mar-1996,,http://us.imdb.com/M/title-exact?Birdcage-%20The%20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Columbia Pictures Corporation
26,Brothers McMullen- The,01-Jan-1995,,http://us.imdb.com/M/title-exact?Brothers%20McMullen-%20The%20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Columbia Pictures Corporation
27,Bad Boys,01-Jan-1995,,http://us.imdb.com/M/title-exact?Bad%20Boys%20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chicago crime kid Mick O'Brien has been sent to a juvenile prison for vehicular manslaughter. Most unfortunately, the person he kills is the kid brother of his nemesis Paco Moreno, who vows revenge by raping Mick's girlfriend. Paco is caught and sent to the same prison where he re-works his revenge plan, and Mick has no choice but to defend himself.",,EMI Films Ltd.
28,Apollo 13,01-Jan-1995,,http://us.imdb.com/M/title-exact?Apollo%2013%20,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"Technical troubles scuttle the Apollo 13 lunar mission in 1971, risking the lives of astronaut Jim Lovell  and his crew in director Ron Howard's chronicle of this true-life story, which turns a failed journey into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.","Houston, we have a problem.",Universal Pictures
29,Batman Forever,01-Jan-1995,,http://us.imdb.com/M/title-exact?Batman%20Forever%20,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face believes Batman caused the courtroom accident which left him disfigured on one side. And Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin.","Courage now, truth always...",
30,Belle de jour,01-Jan-1967,,http://us.imdb.com/M/title-exact?Belle%20de%20jour%20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
31,Crimson Tide,01-Jan-1995,,http://us.imdb.com/M/title-exact?Crimson%20Tide%20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,"Instability in Russia results in the deployment of the the nuclear submarine ""Alabama"". Russian rebels have taken over a nuclear missile site and are refueling them for a possible strike against the USA. Tensions run high undersea, when the launch message is received, followed by an incomplete followup. Could the followup message have been to cancel the earlier orders?",Danger runs deep,Jerry Bruckheimer Films
32,Crumb,01-Jan-1994,,http://us.imdb.com/M/title-exact?Crumb%20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,Jerry Bruckheimer Films
33,Desperado,01-Jan-1995,,http://us.imdb.com/M/title-exact?Desperado%20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"We pick up the story as a continuation of ""El Mariachi,"" where an itinerant musician, looking for work, gets mistaken for a hitman and thereby entangled in a web of love, corruption, and death. This time, he is out to avenge the murder of his lover and the maiming of his fretting hand, which occurred at the end of the earlier movie. ",,Columbia Pictures Corporation
34,Doom Generation- The,01-Jan-1995,,http://us.imdb.com/M/title-exact?Doom%20Generation-%20The%20,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,Columbia Pictures Corporation
35,Free Willy 2: The Adventure Home,01-Jan-1995,,http://us.imdb.com/M/title-exact?Free%20Willy%202:%20The%20Adventure%20Home%20,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,Columbia Pictures Corporation
36,Mad Love,01-Jan-1995,,http://us.imdb.com/M/title-exact?Mad%20Love%20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,,Columbia Pictures Corporation
37,Nadja,01-Jan-1994,,http://us.imdb.com/M/title-exact?Nadja%20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,Columbia Pictures Corporation
38,Net- The,01-Jan-1995,,http://us.imdb.com/M/title-exact?Net-%20The%20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,Columbia Pictures Corporation
39,Strange Days,01-Jan-1995,,http://us.imdb.com/M/title-exact?Strange%20Days%20,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"Strange Days is a futuristic vision of the world from the eyes of director Kathryn Bigelows. A science fiction thriller about a retired politician named Lenny Nero who has the power of carrying on the memory and dreams of other people.",You know you want it.,Lightstorm Entertainment
40,To Wong Foo- Thanks for Everything! Julie Newmar,01-Jan-1995,,http://us.imdb.com/M/title-exact?To%20Wong%20Foo-%20Thanks%20for%20Everything!%20Julie%20Newmar%20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Lightstorm Entertainment
41,Billy Madison,01-Jan-1995,,http://us.imdb.com/M/title-exact?Billy%20Madison%20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Billy Madison is the 27 year-old son of Bryan Madison, a very rich man who has made his living in the hotel industry. Billy stands to inherit his father's empire but only if he can make it through all 12 grades, 2 weeks per grade, to prove that he has what it takes to run the family business.",Billy is going back to school... Way back.,Jack Giarraputo Productions
42,Clerks,01-Jan-1994,,http://us.imdb.com/M/title-exact?Clerks%20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed \u2026 and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives.",Just because they serve you doesn't mean they like you.,Miramax Films
43,Disclosure,01-Jan-1994,,http://us.imdb.com/M/title-exact?Disclosure%20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",Sex Is Power,
44,Dolores Claiborne,01-Jan-1994,,http://us.imdb.com/M/title-exact?Dolores%20Claiborne%20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"A big-city reporter travels to the small town where her mother has been arrested for the murder of an elderly woman that she works for as a maid.",,
45,Eat Drink Man Woman,01-Jan-1994,,http://us.imdb.com/M/title-exact?Yinshi%20Nan%20Nu%20,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"The film tells the story of a retired and widowed Chinese master chef Chu (Si Hung Lung) and his family living in modern day Taipei, Taiwan. At the start of the film, he lives with his three attractive daughters, all of whom are unattached. As the film progresses, each of the daughters encounters new men in their lives. When these new relationships blossom, the stereotypes are broken and the living situation within the family changes.. The film features several scenes displaying the techniques a",,
46,Exotica,01-Jan-1994,,http://us.imdb.com/M/title-exact?Exotica%20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
47,Ed Wood,01-Jan-1994,,http://us.imdb.com/M/title-exact?Ed%20Wood%20,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Ed Wood is the worst director of all times. Together with his friends they film B-movies one after another without ever becoming famous or successful. A strange black and white Tim Burton\/Johnny Depp film.",Movies were his passion. Women were his ispiration. Angora sweaters were his weakness.,Touchstone Pictures
48,Hoop Dreams,01-Jan-1994,,http://us.imdb.com/M/title-exact?Hoop%20Dreams%20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"This documentary follows two inner-city Chicago residents, Arthur Agee and William Gates, as they follow their dreams of becoming basketball superstars. Beginning at the start of their high school years, and ending almost 5 years later, as they start college, we watch the boys mature into men, still retaining their ""Hoop Dreams"".",,
49,I.Q.,01-Jan-1994,,http://us.imdb.com/M/title-exact?I.Q.%20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"Albert Einstein helps a young man who's in love with Einstein's niece to catch her attention by pretending temporarily to be a great physicist.",,
50,Star Wars,01-Jan-1977,,http://us.imdb.com/M/title-exact?Star%20Wars%20,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,,,
51,Legends of the Fall,01-Jan-1994,,http://us.imdb.com/M/title-exact?Legends%20of%20the%20Fall%20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,"An epic tale of three brothers and their father living in the remote wilderness of 1900s USA and how their lives are affected by nature, history, war, and love.",,Bedford Falls Productions
52,Madness of King George- The,01-Jan-1994,,http://us.imdb.com/M/title-exact?Madness%20of%20King%20George-%20The%20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,Bedford Falls Productions
53,Natural Born Killers,01-Jan-1994,,http://us.imdb.com/M/title-exact?Natural%20Born%20Killers%20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.",,Warner Bros. Pictures
54,Outbreak,01-Jan-1995,,http://us.imdb.com/M/title-exact?Outbreak%20,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"A deadly airborne virus finds its way into the USA and starts killing off people at an epidemic rate. Col Sam Daniels' job is to stop the virus spreading from a small town, which must be quarantined, and to prevent an over reaction by the White House. ",,Warner Bros. Pictures
55,Professional- The,01-Jan-1994,,http://us.imdb.com/Title?L%E9on+,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,,,Warner Bros. Pictures
56,Pulp Fiction,01-Jan-1994,,http://us.imdb.com/M/title-exact?Pulp%20Fiction%20,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"Pulp Fiction is a cult film by Director Quentin Tarantino with three interwoven plots with lots of violence, absurdity, and great music. The film is Tarantino\u2019s most famous and the film that cemented his name and style in Hollywood.",Just because you are a character doesn't mean you have character.,Miramax Films
57,Priest,01-Jan-1994,,http://us.imdb.com/M/title-exact?Priest%20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,Miramax Films
58,Quiz Show,01-Jan-1994,,http://us.imdb.com/M/title-exact?Quiz%20Show%20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Quiz Show is a 1994 American historical drama film which tells the true story of the Twenty One quiz show scandal of the 1950s.",Fifty million people watched but no one saw a thing.,
59,Three Colors: Red,01-Jan-1994,,http://us.imdb.com/M/title-exact?Trzy%20kolory:%20Czerwony%20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
60,Three Colors: Blue,01-Jan-1993,,http://us.imdb.com/M/title-exact?Trzy%20kolory:%20Niebieski%20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
61,Three Colors: White,01-Jan-1994,,http://us.imdb.com/M/title-exact?Trzy%20kolory:%20Bialy%20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
62,Stargate,01-Jan-1994,,http://us.imdb.com/M/title-exact?Stargate%20,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"No overview found.",,
63,Santa Clause- The,01-Jan-1994,,http://us.imdb.com/M/title-exact?Santa%20Clause-%20The%20,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
64,Shawshank Redemption- The,01-Jan-1994,,http://us.imdb.com/M/title-exact?Shawshank%20Redemption-%20The%20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
65,What's Eating Gilbert Grape,01-Jan-1993,,http://us.imdb.com/M/title-exact?What's%20Eating%20Gilbert%20Grape%20,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Gilbert has to care for his brother Arnie and his obese mother, which gets in the way when love walks into his life.",,Paramount Pictures
66,While You Were Sleeping,01-Jan-1995,,http://us.imdb.com/M/title-exact?While%20You%20Were%20Sleeping%20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"A love story built on a misunderstanding. A transit worker pulls commuter Peter off the tracks after he's mugged. But while he's in a coma, his family mistakenly thinks she's Peter's fianc\u00E9e, and she doesn't correct them. Things get more complicated when she falls for his brother, who's not quite sure that she's who she claims to be.",A story about love at second sight.,Caravan Pictures
67,Ace Ventura: Pet Detective,01-Jan-1994,,http://us.imdb.com/M/title-exact?Ace%20Ventura:%20Pet%20Detective%20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"He's Ace Ventura: Pet Detective. Jim Carrey is on the case to find the Miami Dolphins' missing mascot and quarterback Dan Marino. He goes eyeball to eyeball with a man-eating shark, stakes out the Miami Dolphins and woos and wows the ladies. Whether he's undercover, under fire or underwater, he always gets his man . . . or beast!","He's the best there is! (Actually, he's the only one there is.)",Morgan Creek Productions
68,Crow- The,01-Jan-1994,,http://us.imdb.com/M/title-exact?Crow-%20The%20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,,Morgan Creek Productions
69,Forrest Gump,01-Jan-1994,,http://us.imdb.com/M/title-exact?Forrest%20Gump%20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,"Forrest Gump, affetto da un leggero deficit mentale, racconta seduto in una panchina il suo passato e il suo amore per Jenny. Forrest ha affrontato vari momenti della storia americana, compresa la guerra in Vietnam, riuscendo a cavarsela in qualsiasi situazione.","La vita \u00E8 come una scatola di cioccolatini, non sai mai quello che ti capita!",Paramount Pictures
70,Four Weddings and a Funeral,01-Jan-1994,,http://us.imdb.com/M/title-exact?Four%20Weddings%20and%20a%20Funeral%20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,,Paramount Pictures
71,Lion King- The,01-Jan-1994,,http://us.imdb.com/M/title-exact?Lion%20King-%20The%20,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,Paramount Pictures
72,Mask- The,01-Jan-1994,,http://us.imdb.com/M/title-exact?Mask-%20The%20,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,,,Paramount Pictures
73,Maverick,01-Jan-1994,,http://us.imdb.com/M/title-exact?Maverick%20,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Maverick is a gambler who would rather con someone than fight them. He needs an additional three thousand dollars in order to enter a Winner Take All poker game that begins in a few days. He tries to win some, tries to collect a few debts, and recover a little loot for the reward. He joins forces with a woman gambler with a marvelous southern accent as the two both try and enter the game.",,
74,Faster Pussycat! Kill! Kill!,01-Jan-1965,,http://us.imdb.com/M/title-exact?Faster%20Pussycat!%20Kill!%20Kill!%20,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"A B-Movie from Russ Meyer starring three slightly amusing big breasted GoGo girs that travel across the California desert and don\u2019t look back to anyone or anything. A film from the soft porno king of big breasted bawds.",,Eve Productions Inc.
75,Brother Minister: The Assassination of Malcolm X,01-Jan-1994,,http://us.imdb.com/M/title-exact?Brother%20Minister:%20The%20Assassination%20of%20Malcolm%20X%20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,Eve Productions Inc.
76,Carlito's Way,01-Jan-1993,,http://us.imdb.com/M/title-exact?Carlito's%20Way%20,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"A Puerto-Rican ex-con, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of NYC.",,Universal Pictures
77,Firm- The,01-Jan-1993,,http://us.imdb.com/M/title-exact?Firm-%20The%20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,Universal Pictures
78,Free Willy,01-Jan-1993,,http://us.imdb.com/M/title-exact?Free%20Willy%20,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"No overview found.",,
79,Fugitive- The,01-Jan-1993,,http://us.imdb.com/M/title-exact?Fugitive-%20The%20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
80,Hot Shots! Part Deux,01-Jan-1993,,http://us.imdb.com/M/title-exact?Hot%20Shots!%20Part%20Deux%20,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"Topper Harley is found to be working as an odd-job-man in a monastery. The CIA want him to lead a rescue mission into Iraq, to rescue the last rescue team, who went in to rescue the last rescue team who... who went in to rescue hostages left behind after Desert Storm.",Just deux it.,20th Century Fox
81,Hudsucker Proxy- The,01-Jan-1994,,http://us.imdb.com/M/title-exact?Hudsucker%20Proxy-%20The%20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,,20th Century Fox
82,Jurassic Park,01-Jan-1993,,http://us.imdb.com/M/title-exact?Jurassic%20Park%20,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, their park visit is anything but tranquil as the security systems go off-line and the Dinosaurs escape.",An adventure 65 million years in the making.,Universal Studios
83,Much Ado About Nothing,01-Jan-1993,,http://us.imdb.com/M/title-exact?Much%20Ado%20About%20Nothing%20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"Young lovers Hero and Claudio are to be married in one week. To pass the time, they conspire with Don Pedro to set a ""lover's trap"" for Benedick, an arrogant confirmed bachelor, and Beatrice, his favorite sparring partner.",,
84,Robert A. Heinlein's The Puppet Masters,01-Jan-1994,,http://us.imdb.com/M/title-exact?Robert%20A.%20Heinlein's%20The%20Puppet%20Masters%20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,,
85,Ref- The,01-Jan-1994,,http://us.imdb.com/M/title-exact?Ref-%20The%20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
86,Remains of the Day- The,01-Jan-1993,,http://us.imdb.com/M/title-exact?Remains%20of%20the%20Day-%20The%20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
87,Searching for Bobby Fischer,01-Jan-1993,,http://us.imdb.com/M/title-exact?Searching%20for%20Bobby%20Fischer%20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"A prepubescent chess prodigy refuses to harden himself in order to become a champion like the famous but unlikable Bobby Fischer.",Every journey begins with a single move.,
88,Sleepless in Seattle,01-Jan-1993,,http://us.imdb.com/M/title-exact?Sleepless%20in%20Seattle%20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"A young boy who tries to set his dad up on a date after the death of his mother. He calls into a radio station to talk about his dad\u2019s loneliness which soon leads the dad into meeting a Journalist Annie who flies to Seattle to write a story about the boy and his dad.  Yet Annie ends up with more than just a story in this popular romantic comedy.",,Tristar Pictures
89,Blade Runner,01-Jan-1982,,http://us.imdb.com/M/title-exact?Blade%20Runner%20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to snuff a quartet of ""replicants"" -- androids consigned to slave labor on remote planets. They've escaped to Earth seeking their creator and a way to extend their short life spans.",Man has made his match... now it's his problem.,Warner Bros. Pictures
90,So I Married an Axe Murderer,01-Jan-1993,,http://us.imdb.com/M/title-exact?So%20I%20Married%20an%20Axe%20Murderer%20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,"Comedy sensation Mike Myers stars with Nancy Travis in this hatchet-driven romantic comedy about a wedlock-shy coffee house poet who finally meets the perfect woman. ",,
91,Nightmare Before Christmas- The,01-Jan-1993,,http://us.imdb.com/M/title-exact?Nightmare%20Before%20Christmas-%20The%20,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,
